"","Date","hour","WDIR","WSPD","GST"
"1",2022-08-12,23,"274","5.4","7.6"
"2",2022-08-12,22,"271","4.7","7.8"
"3",2022-08-12,21,"262","4.4","6.1"
"4",2022-08-12,20,"273","5.1","7.2"
"5",2022-08-12,19,"278","3.8","5.7"
"6",2022-08-12,6,"304","6.3","7.9"
"7",2022-08-12,5,"295","5.8","8.0"
"8",2022-08-12,4,"214","4.9","7.0"
"9",2022-08-12,3,"185","5.3","7.0"
"10",2022-08-12,2,"179","6.2","7.6"
"11",2022-08-12,1,"175","7.0","8.9"
"12",2022-08-12,0,"173","7.2","8.7"
"13",2022-08-11,23,"172","6.9","8.4"
"14",2022-08-11,22,"175","7.4","9.0"
"15",2022-08-11,21,"173","7.7","9.6"
"16",2022-08-11,20,"171","7.5","9.0"
"17",2022-08-11,19,"166","8.4","10.5"
"18",2022-08-11,6,"189","3.2","4.4"
"19",2022-08-11,5,"211","4.2","6.1"
"20",2022-08-11,4,"208","4.7","6.6"
"21",2022-08-11,3,"211","4.9","6.7"
"22",2022-08-11,2,"214","6.1","8.2"
"23",2022-08-11,1,"212","5.0","7.7"
"24",2022-08-11,0,"200","4.4","5.5"
"25",2022-08-10,23,"195","4.7","5.8"
"26",2022-08-10,22,"190","4.6","5.6"
"27",2022-08-10,21,"198","4.1","5.3"
"28",2022-08-10,20,"217","3.5","4.4"
"29",2022-08-10,19,"189","3.3","4.2"
"30",2022-08-10,18,"189","2.7","3.5"
"31",2022-08-10,17,"209","1.9","3.5"
"32",2022-08-10,16,"205","2.0","3.0"
"33",2022-08-10,15,"244","2.8","4.2"
"34",2022-08-10,14,"237","2.9","4.5"
"35",2022-08-10,13,"266","5.2","6.6"
"36",2022-08-10,12,"235","3.0","6.2"
"37",2022-08-10,11,"207","2.3","3.1"
"38",2022-08-10,10,"193","2.3","3.4"
"39",2022-08-10,9,"204","2.4","3.3"
"40",2022-08-10,8,"157","1.6","2.8"
"41",2022-08-10,7,"79","1.8","2.6"
"42",2022-08-10,6,"305","1.6","2.8"
"43",2022-08-10,5,"286","2.6","3.6"
"44",2022-08-10,4,"254","1.5","3.4"
"45",2022-08-10,3,"256","1.7","2.5"
"46",2022-08-10,2,"270","1.4","2.2"
"47",2022-08-10,1,"277","1.7","2.5"
"48",2022-08-10,0,"288","1.9","2.7"
"49",2022-08-09,23,"298","1.9","2.7"
"50",2022-08-09,22,"311","1.9","3.1"
"51",2022-08-09,21,"311","2.4","3.0"
"52",2022-08-09,20,"308","3.0","3.9"
"53",2022-08-09,19,"322","2.4","3.3"
"54",2022-08-09,18,"318","2.6","3.4"
"55",2022-08-09,17,"307","2.7","3.4"
"56",2022-08-09,16,"311","3.3","4.7"
"57",2022-08-09,15,"299","4.2","5.7"
"58",2022-08-09,14,"298","4.2","5.8"
"59",2022-08-09,13,"299","3.6","4.9"
"60",2022-08-09,12,"300","4.3","5.7"
"61",2022-08-09,11,"304","4.7","5.9"
"62",2022-08-09,10,"295","4.7","6.0"
"63",2022-08-09,9,"290","4.8","6.2"
"64",2022-08-09,8,"285","4.3","6.0"
