"","Date","hour","WDIR","WSPD","GST"
"1",2022-08-01,22,"250",2,"MM"
"2",2022-08-01,22,"240",2,"MM"
"3",2022-08-01,22,"240",2,"MM"
"4",2022-08-01,22,"240",2,"MM"
"5",2022-08-01,22,"230",2,"MM"
"6",2022-08-01,22,"230",2,"MM"
"7",2022-08-01,21,"230",2,"MM"
"8",2022-08-01,21,"230",2,"MM"
"9",2022-08-01,21,"240",3,"MM"
"10",2022-08-01,21,"250",3,"MM"
"11",2022-08-01,21,"230",3,"MM"
"12",2022-08-01,21,"230",2,"MM"
"13",2022-08-01,20,"230",3,"MM"
"14",2022-08-01,20,"230",3,"MM"
"15",2022-08-01,20,"230",3,"MM"
"16",2022-08-01,20,"210",2,"MM"
"17",2022-08-01,20,"200",3,"MM"
"18",2022-08-01,20,"200",2,"MM"
"19",2022-08-01,19,"200",2,"MM"
"20",2022-08-01,19,"210",2,"MM"
"21",2022-08-01,19,"220",1,"MM"
"22",2022-08-01,19,"240",1,"MM"
"23",2022-08-01,19,"280",1,"MM"
"24",2022-08-01,19,"270",1,"MM"
"25",2022-08-01,18,"250",1,"MM"
"26",2022-08-01,18,"280",1,"MM"
"27",2022-08-01,18,"280",1,"MM"
"28",2022-08-01,18,"310",1,"MM"
"29",2022-08-01,18,"340",1,"MM"
"30",2022-08-01,15,"20",1,"MM"
"31",2022-08-01,15,"360",2,"MM"
"32",2022-08-01,15,"350",1,"MM"
"33",2022-08-01,15,"350",2,"MM"
"34",2022-08-01,15,"340",2,"MM"
"35",2022-08-01,15,"340",2,"MM"
"36",2022-08-01,14,"350",2,"MM"
"37",2022-08-01,14,"340",2,"MM"
"38",2022-08-01,14,"330",2,"MM"
"39",2022-08-01,14,"340",3,"MM"
"40",2022-08-01,14,"330",2,"MM"
"41",2022-08-01,14,"310",2,"MM"
"42",2022-08-01,13,"300",2,"MM"
"43",2022-08-01,13,"310",2,"MM"
"44",2022-08-01,13,"280",1,"MM"
"45",2022-08-01,13,"300",1,"MM"
"46",2022-08-01,13,"320",2,"MM"
"47",2022-08-01,13,"330",2,"MM"
"48",2022-08-01,12,"330",2,"MM"
"49",2022-08-01,12,"320",2,"MM"
"50",2022-08-01,12,"300",2,"MM"
"51",2022-08-01,12,"300",2,"MM"
"52",2022-08-01,12,"310",2,"MM"
"53",2022-08-01,12,"320",2,"MM"
"54",2022-08-01,11,"320",2,"MM"
"55",2022-08-01,11,"310",2,"MM"
"56",2022-08-01,11,"320",3,"MM"
"57",2022-08-01,11,"330",4,"MM"
"58",2022-08-01,11,"310",4,"MM"
"59",2022-08-01,11,"320",3,"MM"
"60",2022-08-01,10,"330",3,"MM"
"61",2022-08-01,10,"330",3,"MM"
"62",2022-08-01,10,"320",3,"MM"
"63",2022-08-01,10,"320",2,"MM"
"64",2022-08-01,10,"330",3,"MM"
"65",2022-08-01,10,"330",4,"MM"
"66",2022-08-01,9,"330",4,"MM"
"67",2022-08-01,9,"330",4,"MM"
"68",2022-08-01,9,"330",4,"MM"
"69",2022-08-01,9,"330",4,"MM"
"70",2022-08-01,9,"320",3,"MM"
"71",2022-08-01,9,"330",3,"MM"
"72",2022-08-01,8,"330",4,"MM"
"73",2022-08-01,8,"330",4,"MM"
"74",2022-08-01,8,"320",4,"MM"
"75",2022-08-01,8,"320",4,"MM"
"76",2022-08-01,8,"330",5,"MM"
"77",2022-08-01,8,"330",5,"MM"
"78",2022-08-01,7,"320",4,"MM"
"79",2022-08-01,7,"320",4,"MM"
"80",2022-08-01,7,"330",4,"MM"
"81",2022-08-01,7,"330",4,"MM"
"82",2022-08-01,7,"330",3,"MM"
"83",2022-08-01,7,"320",3,"MM"
"84",2022-08-01,6,"320",4,"MM"
"85",2022-08-01,6,"320",4,"MM"
"86",2022-08-01,6,"320",5,"MM"
"87",2022-08-01,6,"320",5,"MM"
"88",2022-08-01,6,"320",6,"MM"
"89",2022-08-01,6,"310",5,"MM"
"90",2022-08-01,5,"330",4,"MM"
"91",2022-08-01,5,"340",6,"MM"
"92",2022-08-01,5,"340",5,"MM"
"93",2022-08-01,5,"330",5,"MM"
"94",2022-08-01,5,"330",5,"MM"
"95",2022-08-01,5,"340",5,"MM"
"96",2022-08-01,4,"340",5,"MM"
"97",2022-08-01,4,"330",6,"MM"
"98",2022-08-01,4,"330",5,"MM"
"99",2022-08-01,4,"340",5,"MM"
"100",2022-08-01,4,"340",6,"MM"
"101",2022-08-01,4,"330",6,"MM"
"102",2022-08-01,3,"330",5,"MM"
"103",2022-08-01,3,"340",6,"MM"
"104",2022-08-01,3,"330",6,"MM"
"105",2022-08-01,3,"340",5,"MM"
"106",2022-08-01,3,"340",6,"MM"
"107",2022-08-01,3,"340",6,"MM"
"108",2022-08-01,2,"330",6,"MM"
"109",2022-08-01,2,"330",7,"MM"
"110",2022-08-01,2,"340",7,"MM"
"111",2022-08-01,2,"330",7,"MM"
"112",2022-08-01,2,"340",7,"MM"
"113",2022-08-01,2,"330",7,"MM"
"114",2022-08-01,1,"330",6,"MM"
"115",2022-08-01,1,"330",6,"MM"
"116",2022-08-01,1,"330",6,"MM"
"117",2022-08-01,1,"330",5,"MM"
"118",2022-08-01,1,"330",6,"MM"
"119",2022-08-01,1,"340",5,"MM"
"120",2022-08-01,0,"330",6,"MM"
"121",2022-08-01,0,"330",6,"MM"
"122",2022-08-01,0,"320",6,"MM"
"123",2022-08-01,0,"330",6,"MM"
"124",2022-08-01,0,"330",6,"MM"
"125",2022-08-01,0,"330",6,"MM"
"126",2022-07-31,19,"340",4,"MM"
"127",2022-07-31,19,"340",4,"MM"
"128",2022-07-31,19,"340",3,"MM"
"129",2022-07-31,19,"350",4,"MM"
"130",2022-07-31,19,"340",4,"MM"
"131",2022-07-31,19,"340",4,"MM"
"132",2022-07-31,18,"350",5,"MM"
"133",2022-07-31,18,"340",4,"MM"
"134",2022-07-31,18,"340",4,"MM"
"135",2022-07-31,18,"340",4,"MM"
"136",2022-07-31,18,"340",4,"MM"
"137",2022-07-31,18,"350",5,"MM"
"138",2022-07-31,17,"340",5,"MM"
"139",2022-07-31,17,"340",5,"MM"
